"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"143","10","","Philip Rivers","LAC","QB17","12","115","182","148.5","33.5","119.0","-24.0"
"144","10","","Trey Burton","CHI","TE14","6","126","172","149.0","23.0","149.0","+5.0"
"145","10","","T.J. Hockenson","DET","TE15","5","138","163","150.5","12.5","128.0","-17.0"
"146","10","","Parris Campbell","IND","WR60","6","149","152","150.5","1.5","146.0","0.0"
"147","10","","Justin Jackson","LAC","RB55","12","101","279","190.0","89.0","168.0","+21.0"
"148","10","","Mark Andrews","BAL","TE16","8","118","185","151.5","33.5","153.0","+5.0"
"149","10","","Josh Allen","BUF","QB18","6","118","185","151.5","33.5","162.0","+13.0"
"150","10","","Mecole Hardman","KC","WR61","12","112","193","152.5","40.5","170.0","+20.0"
"151","10","","Tom Brady","NE","QB19","10","123","183","153.0","30.0","117.0","-34.0"
"152","10","","Jimmy Garoppolo","SF","QB20","4","143","164","153.5","10.5","141.0","-11.0"
"153","10","","Jordan Reed","WAS","TE17","10","137","171","154.0","17.0","159.0","+6.0"
"154","10","","Albert Wilson","MIA","WR62","5","134","176","155.0","21.0","223.0","+69.0"
"155","10","","Alexander Mattison","MIN","RB56","12","124","187","155.5","31.5","150.0","-5.0"
"156","10","","Mike Davis","CHI","RB57","6","155","157","156.0","1.0","237.0","+81.0"
"157","10","","Darwin Thompson","KC","RB58","12","113","242","177.5","64.5","181.0","+24.0"
"158","10","","Kirk Cousins","MIN","QB21","12","116","200","158.0","42.0","140.0","-18.0"
"159","10","","Tony Pollard","DAL","RB59","8","115","293","204.0","89.0","180.0","+21.0"
"160","10","","Marquise Goodwin","SF","WR63","4","158","159","158.5","0.5","193.0","+33.0"
"161","10","","Adam Humphries","TEN","WR64","11","151","173","162.0","11.0","209.0","+48.0"
"162","10","","Jack Doyle","IND","TE18","6","139","189","164.0","25.0","232.0","+70.0"
"163","10","","Mitch Trubisky","CHI","QB22","6","140","188","164.0","24.0","147.0","-16.0"
"164","10","","Marquise Brown","BAL","WR65","8","158","172","165.0","7.0","163.0","-1.0"
"165","10","","Kyle Rudolph","MIN","TE19","12","147","184","165.5","18.5","156.0","-9.0"
"166","11","","C.J. Anderson","DET","RB60","5","136","219","177.5","41.5","179.0","+13.0"
"167","11","","Noah Fant","DEN","TE20","10","152","186","169.0","17.0","175.0","+8.0"
"168","11","","Deebo Samuel","SF","WR66","4","145","197","171.0","26.0","167.0","-1.0"
"169","11","","Greg Olsen","CAR","TE21","7","163","179","171.0","8.0","165.0","-4.0"
"170","11","","Josh Gordon","NE","WR67","10","144","230","187.0","43.0","174.0","+4.0"
"171","11","","Miles Boykin","BAL","WR68","8","146","275","210.5","64.5","289.0","+118.0"
"172","11","","Jimmy Graham","GB","TE22","11","170","178","174.0","4.0","155.0","-17.0"
"173","11","","Trey Quinn","WAS","WR69","10","147","206","176.5","29.5","241.0","+68.0"
"174","11","","Andy Isabella","ARI","WR70","12","161","192","176.5","15.5","231.0","+57.0"
"175","11","","Mohamed Sanu","ATL","WR71","9","162","191","176.5","14.5","190.0","+15.0"
"176","11","","Chris Thompson","WAS","RB61","10","156","223","189.5","33.5","185.0","+9.0"
"177","11","","Jamaal Williams","GB","RB62","11","157","201","179.0","22.0","188.0","+11.0"
"178","11","","Devante Parker","MIA","WR72","5","160","199","179.5","19.5","204.0","+26.0"
"179","11","","Zay Jones","BUF","WR73","6","180","184","182.0","2.0","197.0","+18.0"
"180","11","","Ted Ginn","NO","WR74","9","166","233","199.5","33.5","308.0","+128.0"
"181","11","","D.J. Chark","JAC","WR75","10","167","217","192.0","25.0","260.0","+79.0"
"182","11","","Jalen Richard","OAK","RB63","6","173","196","184.5","11.5","229.0","+47.0"
"183","11","","Jalen Hurd","SF","WR76","4","168","297","232.5","64.5","",""
"184","11","","Rashard Higgins","CLE","WR77","7","169","320","244.5","75.5","327.0","+143.0"
"185","11","","Malcolm Brown","LAR","RB64","9","175","232","203.5","28.5","205.0","+20.0"
"186","11","","Dexter Williams","GB","RB65","11","176","325","250.5","74.5","254.0","+68.0"
"187","11","","Tre'Quan Smith","NO","WR78","9","183","195","189.0","6.0","176.0","-11.0"
"188","12","","Ryquell Armstead","JAC","RB66","10","178","225","201.5","23.5","252.0","+64.0"
"189","12","","Darren Waller","OAK","TE23","6","181","296","238.5","57.5","325.0","+136.0"
"190","12","","David Moore","SEA","WR79","11","187","228","207.5","20.5","283.0","+93.0"
"191","12","","KeeSean Johnson","ARI","WR80","12","190","360","275.0","85.0","263.0","+72.0"
"192","12","","Maurice Harris","NE","WR81","10","191","417","304.0","113.0","",""
"193","12","","Diontae Johnson","PIT","WR82","7","192","278","235.0","43.0","",""
"194","12","","Phillip Dorsett","NE","WR83","10","194","272","233.0","39.0","341.0","+147.0"
"195","12","","Chase Edmonds","ARI","RB67","12","196","244","220.0","24.0","255.0","+60.0"
"196","12","","Benny Snell Jr.","PIT","RB68","7","198","240","219.0","21.0","275.0","+79.0"
"197","13","","Willie Snead","BAL","WR84","8","199","259","229.0","30.0","301.0","+104.0"
""
""
