"","name","points","pos","rd1","rd2","rd3","rd4","rd5","rd6","rd7","rd8","rd9","rd10","rd11","rd12","rd13","rd14"
"218","JAKEEM GRANT",70.3155,5,0.00656775458342689,0.0207978895141852,0.0328387729171345,0.0470689078478927,0.059109791250842,0.0733399261816003,0.0853808095845496,0.0996109445153079,0.111651827918257,0.125881962849015,0.137922846251965,0.152152981182723,0.164193864585672,"0.178423999516431"
"219","MILES SANDERS",70.021,3,6.72364999123701e-05,0.000212915583055839,0.000396508560047019,0.00658807025786757,0.0396499425137743,0.120502551989285,0.245223582356272,0.455093074251278,0.626690255609834,0.791212615430232,0.85479486788444,0.888796877715381,0.897163438044897,"0.896505878649412"
"220","CHRIS THOMPSON",69.7655,3,2.19597649494448e-05,6.95392556732419e-05,0.000109798824747224,0.000157378315471021,0.000248422020775866,0.000989753496976306,0.0031070874122456,0.00828074430188451,0.0163537343039855,0.0373408051913772,0.0711278691447577,0.135937020617886,0.218139945171917,"0.339334447876209"
"221","JOHN ROSS",69.685,5,3.80748066929453e-05,0.000120570221194327,0.000190374033464726,0.000272869447966108,0.000342673260236507,0.000425168674737889,0.000499423094174089,0.0014288014645698,0.00532171000225135,0.0136651693804542,0.0267779234235942,0.0630547555715709,0.102890244098824,"0.150790140995706"
"222","RANDALL COBB",68.319,5,4.56048470278224e-05,0.000144415348921438,0.000228024235139112,0.000326834737032727,0.000410443623250402,0.000509254125144017,0.000592863011361692,0.000691673513255307,0.000775282399472981,0.00120689079644254,0.00569262741506592,0.0224438260811591,0.0458984431563786,"0.0884350292882452"
"223","DEMARYIUS THOMAS",67.8915,5,6.74323051161796e-05,0.000213535632867902,0.000337161525580898,0.000483264853332621,0.000606890746045617,0.000752994073797339,0.000876619966510335,0.00102272329426206,0.00114634918697505,0.0013103482908758,0.00197491128131639,0.00564590913848046,0.0146603258817695,"0.0359268896485546"
"224","WILLIE SNEAD",67.5765,5,4.5877259336743e-05,0.000145277987899686,0.000229386296683715,0.000328787025246658,0.000412895334030687,0.00051229606259363,0.000596404371377659,0.000695805099940602,0.000780194492750409,0.00158303499744966,0.00649193824608675,0.0245019399162595,0.0473844307832989,"0.0706169109135268"
"225","RONALD JONES",67.09425,3,3.60444526867601e-05,0.000139693417333567,0.00149911547434772,0.00746881912123041,0.0103259147200569,0.0173406974679828,0.0469386865862594,0.14460576141019,0.28529313346615,0.494986921342451,0.667569300262983,0.820004287378169,0.883863091641919,"0.92898807876926"
"226","TYLER EIFERT",65.821,4,8.44228928728287e-05,0.000267339160763957,0.000422114464364143,0.000605030732255272,0.000759806035855458,0.000942722303746587,0.00109749760734677,0.00154547621194868,0.00357921356040489,0.0121931602710571,0.0284052463884347,0.0589625227749777,0.0926042747527569,"0.145860278088546"
"227","ANTONIO CALLAWAY",65.26775,5,3.84333684553348e-05,0.000121705666775227,0.000192166842276674,0.000275439140596566,0.000345900316098013,0.000429172614417905,0.000509584690192957,0.00160454746799171,0.00715306373727092,0.0260560225748648,0.0573901191708635,0.113642266444605,0.172944259128446,"0.265766482201066"
"228","GIOVANI BERNARD",65.0775,3,2.99070662743001e-05,9.4705709868617e-05,0.000149535331371501,0.000214333974965817,0.000269163596468701,0.000333962240063018,0.000388791861565901,0.000467045886567355,0.00094178787620009,0.0045368645691016,0.0159846806152119,0.052316748249058,0.114089381067426,"0.220743288836957"
"229","COLE BEASLEY",64.706,5,2.71392016784863e-05,8.59408053152066e-05,0.000135696008392432,0.000194497612029152,0.000250087566782616,0.000554005343556713,0.00163449781310492,0.00506977434830645,0.0105108488065402,0.0198020378854482,0.030016407766668,0.0455101809791583,0.0622532624697847,"0.0864445346594686"
"230","T.J. HOCKENSON",63.788,4,3.79829219534853e-05,0.000120279252852703,0.000189914609767427,0.000272210940666645,0.000341846297581368,0.00104503889736817,0.00483813945322335,0.0134477888524445,0.0245661789788296,0.0403922110853965,0.0616903625807303,0.126425810319916,0.204605490526494,"0.31993368457504"
"231","CHRIS HERNDON",63.2765,4,3.78916369544723e-05,0.000119990183689162,0.000189458184772362,0.000271556731507052,0.000341024732590251,0.0006242015904512,0.00256473377352709,0.0129563320417599,0.0362508464729673,0.0951764335529372,0.188665689176572,0.349482235783244,0.483850282026744,"0.601748588027932"
"232","EQUANIMEOUS ST. BROWN",61.91475,5,4.55223777616475e-05,0.000144154196245217,0.000227611888808237,0.000326243707291807,0.000409701399854827,0.000508333218338397,0.000591790910901417,0.000690422729384987,0.000774272186964101,0.00160402925239059,0.005997962161972,0.0184262101776864,0.0306181621772465,"0.0431492851823304"
"233","DALLAS GOEDERT",61.67875,4,5.5157039857071e-05,0.000174663959547392,0.000275785199285355,0.000395292118975676,0.000496413358713639,0.00061592027840396,0.000768886632385934,0.00662020126769198,0.0203304176858016,0.0312047217925577,0.0527449628561336,0.103502348491926,0.137352809417845,"0.260462931780173"
"234","JASON WITTEN",61.45375,4,2.82368261786612e-05,8.94166162324271e-05,0.000141184130893306,0.000202363920947072,0.000268033066612936,0.000526112922532328,0.00115150989409533,0.00293553692314016,0.00597573608773099,0.0122456389874141,0.0204492222541877,0.0351200931077012,0.0535025673618715,"0.0845880944478823"
"235","PHILLIP DORSETT",60.6485,5,5.14385026050998e-05,0.000162888591582816,0.000257192513025499,0.000368642602003215,0.000462946523445899,0.000574396612423615,0.000668700533866298,0.000780150622844014,0.000874454544286697,0.000985904633264413,0.0010802085547071,0.00174798459844307,0.00629654013248206,"0.0250875724218215"
"236","WILL DISSLY",59.315,4,0.000106724808888753,0.000337961894814386,0.000533624044443767,0.0007648611303694,0.000960523279998781,0.00119493524640407,0.00158061494048201,0.00278111718926564,0.00510820867032208,0.0109181691554015,0.0201810132129595,0.0387793765119789,0.0629924894819032,"0.102751365568738"
"237","KAREEM HUNT",58.61425,3,3.04802214841622e-05,9.65207013665136e-05,0.000210644305718357,0.00157130583882789,0.0062263002420437,0.01595611901159,0.0250628590011717,0.0407113855071435,0.0634296263025638,0.104475644305005,0.160056941665569,0.278736913168731,0.424730050291145,"0.588043278062661"
"238","NOAH FANT",58.11475,4,4.09708700356981e-05,0.000129741088446377,0.000204854350178491,0.000295508641453968,0.000696839267629527,0.00376435272584732,0.0115718508537124,0.0258844955067321,0.037671718824752,0.0549141015111797,0.0824954453897493,0.135688083685374,0.191088183207435,"0.267002535593811"
"239","D.J. CHARK",56.92,5,4.83978167888013e-05,0.000153259753164537,0.000241989083944006,0.000346851020319742,0.000435580351099211,0.000540442287474948,0.000688125150170429,0.00325628902534978,0.01026728058221,0.015933498583726,0.0195198685634421,0.0315148797833467,0.0424635170184287,"0.0503549179023156"
"240","FRANK GORE",56.0595,3,3.96147396540614e-05,0.000125446675571195,0.000198073698270307,0.000286830546167133,0.000831189226056459,0.004862096218854,0.0110152357240119,0.0148732611286844,0.0153953427036094,0.0154644880183934,0.0162189815731992,0.0230922444572383,0.0422477510082638,"0.0843745074659292"
"241","THEO RIDDICK",55.59875,3,5.10645715349992e-05,0.000161704476527498,0.000255322857674996,0.000365962762667495,0.000459581143814993,0.000570221048807491,0.00066383942995499,0.000774479334947488,0.000879227925386099,0.0017858181486047,0.00586269507803561,0.0195640515640075,0.0406771278962819,"0.0754241312458527"
"242","CAMERON BRATE",55.17275,4,0.000123248265511173,0.000390286174118715,0.000616241327555866,0.000883279236163408,0.00110923438960056,0.0013762722982081,0.00160222745164525,0.00186926536025279,0.00209522051368994,0.00236225842229749,0.00258821357573464,0.00296365565702329,0.00464397286137437,"0.0136351661615979"
"243","A.J. BROWN",53.777,5,4.37241103141791e-05,0.000138459682661567,0.000218620551570895,0.000313356123918283,0.000500513879968749,0.00325545320385315,0.0106678007682961,0.0225460863413713,0.0342209280474833,0.0488640915160439,0.0638524659015658,0.0802899774102077,0.108322041824898,"0.180642254402917"
"244","JORDAN MATTHEWS",53.41,5,0.000469125327387641,0.00148556353672753,0.0023456266369382,0.00336206484627809,0.00422212794648876,0.00523856615582865,0.00609862925603933,0.00711506746537922,0.00797513056558989,0.00899156877492978,0.00985163187514045,0.0108680700844803,0.011728133184691,"0.0127445713940309"
"245","DARREN WALLER",52.82275,4,6.90927969228027e-05,0.000218793856922209,0.000345463984614013,0.000495165044613419,0.000621835172305224,0.00077153623230463,0.000905873286880261,0.00138524515467533,0.00269996559490189,0.00703537636681212,0.0156416866706358,0.0362882733698145,0.0667151329124374,"0.121094801166399"
"246","DEMARCUS ROBINSON",52.517,5,6.94079054887921e-05,0.000219791700714508,0.000347039527443961,0.000497423322669677,0.000624671149399129,0.000775054944624845,0.000902302771354298,0.00105268656658001,0.00117993439330947,0.00133396335522805,0.00176862608385496,0.0040624646507365,0.0098649397744857,"0.0246261017196623"
"247","D'ONTA FOREMAN",52.415,3,3.4609250575909e-05,0.000109595960157045,0.000173046252879545,0.000248032962460681,0.000641182344105481,0.00456835015186492,0.0145161068062144,0.0480572340849585,0.0981847251001503,0.189546383755654,0.338346603577299,0.549927864145089,0.675168875190916,"0.778152611586634"
"248","CHRIS HOGAN",51.9925,5,4.87612522788682e-05,0.000154410632216416,0.000243806261394341,0.000349455641331889,0.000438851270509813,0.000544500650447361,0.000633896279625286,0.000739545659562834,0.000828941288740759,0.000934590668678307,0.00112860498505317,0.0032961122014331,0.0115720939794174,"0.0350516998007402"
"249","DARRELL HENDERSON",51.455,3,4.55666443506554e-05,0.00109182305745425,0.00585891624440888,0.0197570875412543,0.0435413955904819,0.103870429248128,0.19326643956609,0.342232073273473,0.480720516142514,0.630396485059973,0.736229580623106,0.820899996729091,0.86326825353073,"0.893000140146626"
